name,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,seq_len,isoelectric_point,molecular_weight,triplet_MYG,triplet_TYG,triplet_GYG,triplet_QYG,triplet_SYG,triplet_HYG,triplet_unknown,triplet_CYG,triplet_TWG,triplet_AYG,triplet_SHG,triplet_DYG,triplet_SWG,triplet_KYG,triplet_LYG,triplet_EYG,triplet_LFG,triplet_NYG,triplet_QWG,triplet_LLG,triplet_AWG,triplet_THG,triplet_FYG,triplet_GZG,triplet_QFG,triplet_RYG,triplet_GAG,triplet_NIG,triplet_LHG,triplet_MWG,triplet_SYA,oligo_m,oligo_d,oligo_t,oligo_wd,oligo_other,switch_b,switch_ps,switch_pa,switch_pc,switch_other
G2,0.0423728813559322,0.0,0.07627118644067797,0.0847457627118644,0.046610169491525424,0.08898305084745763,0.029661016949152543,0.05508474576271186,0.1016949152542373,0.05084745762711865,0.046610169491525424,0.046610169491525424,0.046610169491525424,0.00847457627118644,0.03389830508474576,0.0423728813559322,0.0635593220338983,0.07203389830508475,0.00847457627118644,0.05508474576271186,236.0,5.701030540466309,26903.212600000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ECGFP,0.03765690376569038,0.008368200836820083,0.07531380753138076,0.06694560669456066,0.0502092050209205,0.09205020920502092,0.03765690376569038,0.05439330543933055,0.08368200836820083,0.08786610878661087,0.02092050209205021,0.0502092050209205,0.04184100418410042,0.03347280334728033,0.02510460251046025,0.04184100418410042,0.06694560669456066,0.07112970711297072,0.008368200836820083,0.04602510460251046,239.0,5.583601188659667,26967.17010000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mLemon,0.037815126050420166,0.008403361344537815,0.07142857142857142,0.06722689075630252,0.046218487394957986,0.10084033613445378,0.04201680672268908,0.046218487394957986,0.09243697478991597,0.08823529411764706,0.02100840336134454,0.046218487394957986,0.04201680672268908,0.03361344537815126,0.029411764705882353,0.046218487394957986,0.06302521008403361,0.06722689075630252,0.004201680672268907,0.046218487394957986,238.0,6.202407264709472,26728.895800000017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Emerald,0.03765690376569038,0.008368200836820083,0.07531380753138076,0.06694560669456066,0.0502092050209205,0.09205020920502092,0.03765690376569038,0.04602510460251046,0.08786610878661087,0.08786610878661087,0.02092050209205021,0.0502092050209205,0.04184100418410042,0.03347280334728033,0.02510460251046025,0.03765690376569038,0.07531380753138076,0.07531380753138076,0.0041841004184100415,0.04602510460251046,239.0,5.713932991027832,26897.07880000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
mRuby2,0.03375527426160337,0.012658227848101266,0.04219409282700422,0.08016877637130802,0.05485232067510549,0.12658227848101267,0.029535864978902954,0.03375527426160337,0.07172995780590717,0.05063291139240506,0.06329113924050633,0.03375527426160337,0.046413502109704644,0.029535864978902954,0.046413502109704644,0.046413502109704644,0.06329113924050633,0.08860759493670886,0.008438818565400843,0.0379746835443038,237.0,6.663826179504396,26488.075300000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Achilles,0.04184100418410042,0.0041841004184100415,0.07112970711297072,0.06694560669456066,0.05439330543933055,0.10460251046025104,0.03765690376569038,0.0502092050209205,0.08368200836820083,0.09623430962343096,0.02092050209205021,0.05439330543933055,0.04184100418410042,0.029288702928870293,0.029288702928870293,0.03347280334728033,0.06276150627615062,0.07112970711297072,0.0041841004184100415,0.04184100418410042,239.0,5.847561454772949,26769.02050000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mScarlet3-S2,0.05240174672489083,0.0,0.06550218340611354,0.08296943231441048,0.05240174672489083,0.10480349344978165,0.026200873362445413,0.034934497816593885,0.07860262008733625,0.05240174672489083,0.034934497816593885,0.021834061135371178,0.056768558951965066,0.034934497816593885,0.056768558951965066,0.0611353711790393,0.06550218340611354,0.0611353711790393,0.017467248908296942,0.039301310043668124,229.0,6.104985237121581,25853.7325,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mWasabi,0.038135593220338986,0.0,0.07627118644067797,0.08898305084745763,0.046610169491525424,0.08898305084745763,0.029661016949152543,0.059322033898305086,0.1016949152542373,0.05084745762711865,0.0423728813559322,0.046610169491525424,0.046610169491525424,0.00847457627118644,0.03389830508474576,0.0423728813559322,0.0635593220338983,0.07203389830508475,0.00847457627118644,0.05508474576271186,236.0,5.57263126373291,26943.21030000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dKeima,0.036036036036036036,0.018018018018018018,0.04954954954954955,0.06306306306306306,0.04504504504504504,0.0990990990990991,0.02252252252252252,0.04954954954954955,0.07657657657657657,0.05405405405405406,0.036036036036036036,0.04054054054054054,0.06306306306306306,0.036036036036036036,0.03153153153153153,0.06306306306306306,0.06756756756756757,0.06756756756756757,0.013513513513513514,0.06756756756756757,222.0,6.5210466384887695,25050.15560000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mCerulean,0.04184100418410042,0.008368200836820083,0.0794979079497908,0.06694560669456066,0.0502092050209205,0.09205020920502092,0.03347280334728033,0.05439330543933055,0.08786610878661087,0.08786610878661087,0.02092050209205021,0.0502092050209205,0.04184100418410042,0.03347280334728033,0.02510460251046025,0.03765690376569038,0.07112970711297072,0.07112970711297072,0.008368200836820083,0.03765690376569038,239.0,5.493454551696778,26832.04860000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sg12,0.03765690376569038,0.008368200836820083,0.07531380753138076,0.06694560669456066,0.0502092050209205,0.09205020920502092,0.04184100418410042,0.0502092050209205,0.08368200836820083,0.08368200836820083,0.02510460251046025,0.05439330543933055,0.04184100418410042,0.029288702928870293,0.029288702928870293,0.04602510460251046,0.06276150627615062,0.07112970711297072,0.0041841004184100415,0.04602510460251046,239.0,5.795326423645019,26951.112800000017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SPOON,0.03765690376569038,0.008368200836820083,0.0794979079497908,0.06694560669456066,0.0502092050209205,0.100418410041841,0.04184100418410042,0.0502092050209205,0.08368200836820083,0.09205020920502092,0.02092050209205021,0.0502092050209205,0.04184100418410042,0.029288702928870293,0.02510460251046025,0.03765690376569038,0.06276150627615062,0.07112970711297072,0.0041841004184100415,0.04602510460251046,239.0,5.552908134460449,26830.97910000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
